Remesas,Consumo,V.Consumo,Inversion,V.Inversion,Tasa.Cambio,INPC,Rezago.Rem,TIIE28
772.0803,77.96287992,3.981260309,74.82416985,-7.813380427,9.4189,49.950381,789.3075,10.95
792.8295,82.60235989,3.633366213,70.67068876,-9.027441505,9.345,50.176135,772.0803,10.34
693.8224,81.64943048,2.502811936,71.73958296,-6.600426493,9.2236,50.365149,792.8295,8.9
759.0318,82.87381705,2.804306826,71.60970905,-3.207086744,9.1561,50.434899,693.8224,7.94
711.043,78.43531692,1.50701863,69.30069531,-6.797185766,9.1616,50.900472,759.0318,7.97
718.865,74.83984054,2.467508591,67.88268118,-4.231451707,9.0998,50.86775,711.043,8.99
744.527,79.2986206,0.526346105,65.90713775,-10.43522529,9.0707,51.127948,718.865,8.47
805.872,82.74038357,1.354551627,70.08630405,7.440926832,9.1629,51.407235,744.527,6.85
912.205,82.84931878,0.686021943,69.16149666,1.97888684,9.5192,51.511429,805.872,7.73
860.003,80.58878548,0.996830962,66.42855068,-2.798783426,9.7652,51.762586,912.205,8.42
843.0738,82.70652042,2.37471037,69.96099442,-1.704522003,9.7808,51.911181,860.003,8.34
849.1376,81.4761247,0.968654143,73.62000279,-3.881709405,9.8396,52.10856,843.0738,7.61
860.5997,79.27565922,0.662683511,73.19260669,-2.180529584,10.0714,52.421984,849.1376,8.37
848.283,84.40609539,-1.905459573,71.48626418,1.154050478,10.095,52.653036,860.5997,8.67
741.438,82.0346329,7.527294269,70.71706745,-1.425315663,10.1975,53.078877,848.283,8.33
919.401,83.77914641,2.31751627,69.59609245,-2.811932375,10.2249,53.30993,741.438,8.26
1051.2547,80.96100037,-0.191754479,70.70911046,2.032324705,10.6203,53.525441,919.401,9.14
979.7597,77.4848141,3.550790254,70.43454959,3.759233381,10.9372,53.674122,1051.2547,9.91
1139.1124,82.10204401,1.365039704,72.21391713,9.569190215,10.9124,54.01293,979.7597,9.96
1202.5097,81.66447689,1.683851721,69.28768371,-1.139481319,10.5917,54.105144,1139.1124,8.58
1350.9669,83.3375599,2.183636763,68.76491177,-0.573418605,10.2512,53.93056,1202.5097,5.92
1351.1707,82.17672553,0.471776011,68.31528793,2.840250507,10.5047,53.975112,1350.9669,5.79
1361.362,83.98032779,1.092419048,70.69445341,1.048382737,10.4502,54.053339,1351.1707,5.3
1401.2462,81.78256509,1.626022315,72.18250834,-1.952586787,10.7811,54.21549,1361.362,4.97
1365.5085,82.17869135,3.220084455,71.02591743,-2.960257003,10.9269,54.538238,1401.2462,5.05
1391.0112,85.73130907,3.534178508,71.12977155,-0.498686885,11.1748,54.738207,1365.5085,5.6
1203.7084,84.22995069,3.535273858,68.50012235,-3.134950554,11.145,55.192542,1391.0112,5.35
1341.0761,89.0224138,-1.30034046,72.89223045,4.73609635,11.2486,55.429811,1203.7084,6.4
1081.8635,81.84581763,0.589312163,74.66942578,5.600855816,10.9151,55.774317,1341.0761,5.36
1171.7737,80.18976243,1.970423114,71.02786717,0.842367246,11.0142,56.107945,1081.8635,5.79
1480.224,87.49280975,1.540153503,78.1135118,8.169609003,11.0094,56.298071,1171.7737,6.49
1513.5151,84.61868582,0.376110659,73.86449437,6.605518339,11.2751,56.383032,1480.224,6.17
1770.3978,86.65160167,3.661946375,72.93986562,6.071343273,11.5124,56.241603,1513.5151,6.95
1684.7248,87.59558144,1.570045,74.89655361,9.633664562,11.3894,56.331745,1770.3978,7.02
1654.376,87.8770824,2.676086558,74.53526279,5.432971321,11.4636,56.47939,1684.7248,7.11
1786.8078,87.1780765,6.258439732,75.27297319,4.281459481,11.3942,56.828041,1654.376,7.5
1586.8407,86.46938441,2.28514376,76.61936549,7.875221141,11.4864,57.297917,1786.8078,7.78
1529.9477,87.99270837,1.092893188,76.06868503,6.943525011,11.3983,57.694747,1586.8407,8.05
1506.1644,91.03350824,3.490939946,78.39277755,14.44180662,11.3681,58.186899,1529.9477,8.6
1565.1123,92.99697197,6.565933658,79.76776643,9.432467543,11.2041,58.307088,1506.1644,8.93
1367.5563,86.00327688,3.617495687,78.19078315,4.715929345,11.2607,58.30916,1565.1123,8.97
1428.377,83.40954239,3.97664844,74.89223026,5.440629502,11.1367,58.503431,1367.5563,9.47
1691.5896,87.27537131,6.594149223,79.35648828,1.591243884,11.1427,58.767121,1428.377,9.78
1753.3032,89.35225452,4.640080266,80.13105217,8.483856631,11.1163,58.976415,1691.5896,10.01
2057.2773,90.30021416,6.597385897,77.3257483,6.013011734,10.9733,58.828251,1753.3032,10.12
1923.2802,89.11126138,5.221174723,78.71720005,5.101231314,10.8228,58.771783,2057.2773,10.01
1840.3006,88.69364122,2.63777531,76.52521516,2.669813323,10.6781,59.0018,1923.2802,10.01
2059.2229,90.47835702,8.07736143,81.81207194,8.687180113,10.6882,59.072255,1840.3006,9.98
1885.9905,89.40101881,4.464671313,81.5502293,6.435532025,10.7775,59.309006,2059.2229,9.65
1862.2776,90.22869755,4.75443852,80.69644053,6.08365387,10.8324,59.45458,1885.9905,9.41
1886.9538,92.05176521,5.079623342,85.19135402,8.672452583,10.6685,59.882493,1862.2776,9.17
1932.142,93.31164863,4.015200774,88.03580461,10.36513688,10.6295,60.250312,1886.9538,8.72
1758.3057,89.34132275,-0.24852149,84.22992224,7.723594579,10.547,60.603626,1932.142,8.41
1823.1898,86.48935119,5.593999305,79.92636608,6.721839908,10.4833,60.696358,1758.3057,7.97
2152.8362,92.20328046,4.210669419,89.73108211,13.0734034,10.7468,60.772512,1823.1898,7.68
2072.7017,89.74649506,1.730315519,83.98625607,4.811123519,11.0421,60.861617,2152.8362,7.51
2534.599,95.29972145,0.929205653,86.4298217,11.7736635,11.0923,60.590675,2072.7017,7.32
2340.2623,93.87475454,3.78567714,86.31625226,9.653610906,11.3913,60.642998,2534.599,7.33
2191.6469,91.9790131,3.390372703,85.13374695,11.24927485,10.9858,60.809294,2340.2623,7.31
2334.2835,94.17497442,2.541107344,90.52635336,10.65158382,10.872,61.119609,2191.6469,7.3
2140.9586,92.17375602,1.118551826,90.12442152,10.51400137,10.9853,61.736612,2334.2835,7.31
2316.5244,94.90499874,0.338373016,90.67582663,12.36657531,10.8971,62.006519,2140.9586,7.31
1962.802,96.19524963,2.656103574,91.67665122,7.612623699,10.9177,62.331857,2316.5244,7.3
1938.7249,95.86269769,3.8813008,93.29893617,5.978398888,10.8479,62.692424,1962.802,7.34
1872.9292,92.64244639,3.692393835,86.87147079,3.136116578,10.9529,63.016208,1938.7249,7.41
1856.7782,88.83985873,5.646391501,84.93299626,6.264053304,10.9998,63.192347,1872.9292,7.46
2186.5239,95.31112448,0.441220587,92.24531439,2.801963616,11.1139,63.329113,1856.7782,7.46
2166.564,92.61564877,5.536539788,88.18158424,4.995255621,10.9806,63.291295,2186.5239,7.47
2411.7694,97.74101396,5.34555688,90.1321885,4.283668207,10.8167,62.982534,2166.564,7.7
2300.5755,96.16886721,3.704179725,88.79526793,2.872014949,10.835,63.05817,2411.7694,7.7
2369.4892,94.7368952,4.085637184,90.62694794,6.452436537,10.8109,63.326005,2300.5755,7.7
2412.1251,97.24591408,3.101460406,94.86425195,4.791862725,11.0456,63.583996,2369.4892,7.71
2186.1334,93.06882788,5.182720489,94.89120714,5.289116469,11.0315,64.077703,2412.1251,7.7
2367.6428,98.80230139,4.501254717,101.0734721,11.46683281,10.8231,64.327405,2186.1334,7.73
1958.5217,97.36374407,2.733902038,100.0789374,9.165132127,10.8866,64.781221,2367.6428,7.93
1969.7657,95.81982187,3.985404497,100.547444,7.769121589,10.8484,65.049056,1958.5217,7.93
1781.6996,95.39360331,3.694957197,97.03327666,11.69751792,10.91,65.350564,1969.7657,7.93
1859.7116,92.75914063,2.717684326,95.89694408,12.90893799,10.7665,65.544834,1781.6996,7.93
2116.3465,93.08813042,3.370643655,92.83044507,0.634320223,10.7313,66.019891,1859.7116,7.93
2184.6854,97.14557208,3.196953498,101.3036792,14.88076576,10.5154,66.170127,2116.3465,7.94
2371.6245,99.00682211,2.561699523,99.61400986,10.51990584,10.4352,66.098635,2184.6854,7.93
2264.5868,97.15551169,2.443801508,100.7533591,13.46703655,10.3292,66.372168,2371.6245,8
2183.1569,98.3369589,2.99838193,103.8476379,14.58803397,10.2155,66.742059,2264.5868,8.28
2097.565,95.85575352,3.260887177,98.35412803,3.678810528,10.1095,67.127492,2183.1569,8.56
2113.8022,94.41997932,0.971070192,97.12300414,2.351953426,10.6437,67.584935,2097.565,8.66
2637.7129,96.63574588,4.106530428,103.7505344,2.648630053,12.6314,68.045486,2113.8022,8.68
1752.1841,93.93478198,1.214711164,96.93536357,-3.141094367,13.114,68.818942,2637.7129,8.73
1781.9097,95.35268314,-0.044726289,98.78045774,-1.757365631,13.4226,69.295552,1752.1841,8.74
1572.9751,87.46754561,2.527395803,88.00180114,-9.307606445,13.8921,69.456149,1781.9097,8.41
1810.7913,84.26983794,2.969650555,81.8301611,-14.66864572,14.5966,69.609494,1572.9751,7.94
2115.1062,89.52813669,4.411625546,86.17534058,-7.16909682,14.6695,70.00995,1810.7913,7.64
1794.7984,87.38504085,-2.332355306,84.01578812,-17.06541287,13.4367,70.25499,2115.1062,6.68
1905.4983,86.76786501,4.891099253,84.96031235,-14.71047851,13.1621,70.050358,1794.7984,5.78
1934.0212,89.03218378,1.295063457,87.56203661,-13.09268755,13.3418,70.179354,1905.4983,5.26
1850.2274,90.949882,1.025949985,89.80243423,-13.52481765,13.3654,70.370516,1934.0212,4.92
1799.4038,90.63968068,3.800065098,85.95172817,-12.60994339,13.008,70.538884,1850.2274,4.89
1747.2127,89.51912813,-1.429531073,86.74062606,-10.68992683,13.4212,70.892716,1799.4038,4.91
1695.9575,93.31645728,1.451776567,91.11709838,-12.1767431,13.2257,71.107191,1747.2127,4.91
1510.8202,93.47649586,-2.192818873,88.00122849,-9.216590051,13.1094,71.476046,1695.9575,4.93
1569.5206,97.81698252,-3.5218059,93.64713552,-5.196698146,12.8631,71.771855,1510.8202,4.93
1323.8241,89.1582126,-0.487517839,90.45948839,2.792769253,12.8019,72.552046,1569.5206,4.91
1553.4585,86.69668524,0.765393911,83.5003025,2.040985104,12.9424,72.971671,1323.8241,4.92
1954.8462,92.89300933,-8.308793705,91.16385506,5.78879577,12.5737,73.489725,1553.4585,4.92
1794.7704,90.85892691,-9.151985063,91.13531531,8.474034877,12.2302,73.255565,1954.8462,4.94
2146.2064,93.13847735,-3.824326158,89.02709882,4.78668964,12.7428,72.793978,1794.7704,4.94
1894.8869,93.38694065,-10.04732487,90.41299721,3.25593226,12.7193,72.771183,2146.2064,4.94
1874.4402,93.27546624,-12.36173108,90.05184197,0.277729375,12.8189,72.92919,1894.8869,4.92
1957.7357,93.51768126,-8.361160132,89.47320279,4.097037603,12.7695,73.13175,1874.4402,4.9
1718.9603,92.79480788,-7.512004624,91.23453731,5.180860976,12.7997,73.51511,1957.7357,4.9
1731.0322,94.78190901,-5.441585555,96.22663479,5.607659258,12.4374,73.968926,1718.9603,4.87
1631.8941,97.59203297,-5.190481113,95.56909008,8.599722658,12.3391,74.561581,1731.0322,4.87
1721.827,99.24024713,-3.434845531,98.93684487,5.648554355,12.3885,74.930954,1631.8941,4.89
1403.1694,91.65068937,-0.487876922,92.67223559,2.446119514,12.1258,75.295991,1721.827,4.86
1651.0566,88.6758991,2.584404858,87.0182925,4.213146414,12.0703,75.57846,1403.1694,4.84
2055.9125,96.00732034,-5.997421048,93.2685803,2.308727774,11.9992,75.723451,1651.0566,4.84
1880.8948,92.7921813,1.932907783,91.53392202,0.437378973,11.7184,75.717441,2055.9125,4.85
2168.5078,96.19466088,2.879852823,96.33380863,8.207287345,11.6533,75.159264,1880.8948,4.85
2022.3112,95.92069865,3.758452659,100.553603,11.21587172,11.806,75.155508,2168.5078,4.85
1906.7078,96.0953025,3.975378424,99.28844811,10.25698746,11.6726,75.516107,2022.3112,4.82
2143.8956,98.52812217,7.342133336,101.3987141,13.32858435,12.2319,75.635555,1906.7078,4.81
2085.9703,96.42198268,4.891216507,98.50788354,7.972141307,13.0445,75.821113,2143.8956,4.78
1912.6401,98.69883991,2.55699534,104.0923412,8.174146859,13.435,76.332712,2085.9703,4.79
1785.8739,100.3326722,3.175210414,108.5059671,13.53667487,13.6993,77.158333,1912.6401,4.8
1786.0316,101.4821298,3.659195324,110.121848,11.30519492,13.7689,77.792385,1785.8739,4.8
1506.3264,98.53077687,1.570410811,98.54993688,6.342461969,13.4178,78.343049,1786.0316,4.79
1788.2346,93.49330895,4.40275074,98.42251524,13.10554644,12.7831,78.502314,1506.3264,4.78
2091.6655,97.91022228,1.455028135,101.5113344,8.83765365,12.7567,78.547389,1788.2346,4.77
2031.5033,94.63194889,3.440679386,99.14181416,8.311554861,13.0697,78.30098,2091.6655,4.74
2342.5053,98.66666,2.795566105,105.1118198,9.11207731,13.6634,78.053819,2031.5033,4.76
2096.1395,97.60878927,2.282917562,101.0201436,0.46397202,13.9192,78.413667,2342.5053,4.76
1862.7014,98.52658669,3.352578446,106.944503,7.710922104,13.3661,78.853897,2096.1395,4.78
1889.6558,100.0757921,2.12775393,104.3669373,2.927278963,13.1845,79.09054,1862.7014,4.79
1661.5842,95.83093597,3.281332934,102.9893087,4.54930606,12.9394,79.439119,1889.6558,4.8
1771.3108,102.4121925,2.713182358,109.9553456,5.632503152,12.891,79.841036,1661.5842,4.82
1692.2529,103.3016152,3.023127486,110.0138077,1.389638412,13.0746,80.383437,1771.3108,4.84
1704.4423,99.18216985,5.357747148,103.5741377,-5.945877664,12.8705,80.568243,1692.2529,4.84
1530.9493,101.3002894,3.908812231,97.94805526,-0.610737706,12.699,80.892782,1704.4423,4.84
1653.7933,93.72532933,4.132572273,97.88132475,-0.549864519,12.7229,81.290943,1530.9493,4.82
1855.5856,96.28291539,2.80826121,95.26546127,-6.152882492,12.5247,81.887433,1653.7933,4.48
1990.6289,99.43001861,2.259045808,100.9547444,1.828623209,12.205,81.941523,1855.5856,4.33
2105.1707,101.1045195,3.174170808,102.7273895,-2.268470118,12.3115,81.66882,1990.6289,4.32
2001.2296,97.51217082,7.506858428,95.60820372,-5.357287837,12.9596,81.619238,2105.1707,4.3
1890.2772,101.593571,5.432603338,101.2123152,-5.359964876,12.7659,81.592193,2001.2296,4.32
1953.6304,101.2278569,1.982038389,99.06104242,-5.083884832,12.9178,81.824328,1890.2772,4.31
1828.3274,96.93021141,1.982675219,95.84932447,-6.932743096,13.0759,82.13234,1953.6304,4.1
1911.9983,104.5851778,2.569788279,105.1746594,-4.347843362,12.9992,82.522988,1828.3274,3.98
1731.6637,103.3126783,1.759881491,103.2465719,-6.15126038,13.0796,83.292265,1911.9983,3.79
1849.4966,102.9952615,2.530076005,105.0709076,1.445119427,13.0076,83.770058,1731.6637,3.79
1642.2232,102.9553811,1.570790058,94.09258504,-3.936239682,13.223,84.519052,1849.4966,3.78
1719.2445,95.05392417,-0.612979209,96.05229995,-1.868614673,13.2808,84.733157,1642.2232,3.79
2098.2592,99.47283866,3.762306259,100.1119821,5.087385086,13.1951,84.965292,1719.2445,3.8
1976.3673,100.1374967,2.959098936,99.09740287,-1.839776353,13.0708,84.806779,2098.2592,3.81
2146.9543,103.0303892,-2.266369385,102.9146759,0.182314001,12.9247,84.535579,1976.3673,3.8
2043.4553,101.3469267,2.37426162,100.9914786,5.630557483,12.9958,84.682072,2146.9543,3.43
1998.1848,104.2175287,2.810809638,103.0764466,1.841802981,12.9904,84.914959,2043.4553,3.3
2004.331,102.5112642,0.248167895,102.2923175,3.261902974,13.1406,85.219965,1998.1848,3.3
1965.0674,100.6310585,-1.662039831,102.867679,7.322278599,13.2352,85.59634,2004.331,3.29
2042.1377,107.6195161,5.070242956,112.6588646,7.115977571,13.4763,86.069626,1965.0674,3.29
1776.0464,105.2277567,2.470803694,109.5088792,6.065390008,13.6216,86.763778,2042.1377,3.29
2235.0127,106.0425487,-0.0989854,111.332934,5.959809858,14.5129,87.188984,1776.0464,3.3
1626.8265,106.1451191,3.112849472,101.696355,8.081157465,14.6926,87.110103,2235.0127,3.3
1842.5174,97.61993828,1.151192274,96.72951455,0.705047767,14.9213,87.275377,1626.8265,3.3
2254.2732,103.0969654,1.147098724,102.9412125,2.826065711,15.2283,87.630717,1842.5174,3.3
2006.1882,101.9040793,2.121803259,103.8120203,4.757559007,15.2262,87.40384,2254.2732,3.3
2191.0587,103.7118161,0.010709497,104.9894608,2.016024321,15.2645,86.967366,2006.1882,3.3
2156.0087,105.1091115,3.844533416,109.662452,8.585846592,15.483,87.113108,2191.0587,3.3
2234.8851,106.3695749,1.680180362,112.5008214,9.143092405,15.9396,87.24082,2156.0087,3.3
2253.1487,106.4677907,1.633846912,110.9933961,8.506091963,16.5368,87.424875,2234.8851,3.32
2055.1324,104.8320672,1.417540861,114.4416965,11.25136447,16.8578,87.752419,2253.1487,3.33
2068.8161,111.7525521,3.313072999,112.39885,-0.230798164,16.564,88.203919,2055.1324,3.31
1895.1813,109.3687764,0.711533661,111.178261,1.524426048,16.6357,88.685468,2068.8161,3.32
2200.7363,110.8518411,1.904830453,112.5240024,1.069825803,17.0666,89.046818,1895.1813,3.42
1932.4979,109.9259048,3.932592009,101.5503352,-0.143584104,18.0728,89.386381,2200.7363,3.56
2082.2151,103.9071655,2.58279896,104.7544571,8.296270888,18.4731,89.777781,1932.4979,3.75
2191.1363,106.4661105,1.267839995,103.2973642,0.34597577,17.649,89.910001,2082.2151,4.06
2171.3015,106.8299814,3.818053251,105.8009241,1.915870427,17.4877,89.625278,2191.1363,4.06
2478.2101,108.1635108,2.901308213,107.6119097,2.497821052,18.1542,89.225615,2171.3015,4.08
2312.3136,109.7050173,1.853672179,110.2579594,0.543036734,18.653,89.324028,2478.2101,4.1
2248.6248,109.5252971,2.958667314,105.0112709,-6.65732962,18.6014,89.556914,2312.3136,4.56
2269.2888,112.2421805,2.35388577,112.1565499,1.047948625,18.4749,89.809333,2248.6248,4.59
2374.0707,108.8349325,3.098175166,112.1530626,-1.999825234,19.1924,90.357744,2269.2888,4.61
2220.1971,113.4626337,2.699535172,111.4952748,-0.80390079,18.8924,90.906154,2374.0707,5.11
2370.9655,114.6900771,3.643333019,115.2474632,3.660070021,20.1185,91.616834,2220.1971,5.34
2342.4602,116.5820301,1.764156989,115.2187781,2.394845206,20.5206,92.039035,2370.9655,5.84
2147.8962,115.779733,0.661384416,104.6055838,3.008605135,21.3853,93.603882,2342.4602,6.13
2141.9286,106.3829159,3.712184404,100.0761374,-4.4659863,20.2905,94.14478,2147.8962,6.44
2618.4356,112.1252175,2.064956031,108.239352,4.784234199,19.301,94.722489,2141.9286,6.63
2404.4485,108.2489578,3.859601739,95.82925921,-9.424931736,18.7875,94.838933,2618.4356,6.87
2694.8252,113.7637773,4.174664093,108.9423597,1.236340828,18.7557,94.725494,2404.4485,6.98
2552.3467,114.0824093,3.840414935,109.411782,-0.767452461,18.1326,94.96364,2694.8252,7.21
2599.9785,113.0848069,3.935292253,105.4800772,0.44643426,17.8283,95.322736,2552.3467,7.37
2617.6073,115.9087645,4.535247911,112.0744974,-0.073158925,17.807,95.793768,2599.9785,7.38
2489.214,111.4175336,3.1738742,110.7919702,-1.213602556,17.8357,96.093515,2617.6073,7.38
2842.5028,116.766478,3.561902497,109.5451757,-1.749041912,18.8161,96.698269,2489.214,7.38
2420.8104,117.5203263,6.440515491,109.6981727,-4.815108629,18.9158,97.695174,2842.5028,7.38
2760.5513,117.054898,3.267938163,114.4986166,-0.625038312,19.1812,98.272883,2420.8104,7.51
2267.623,119.0655845,4.833861582,108.4509656,3.676076947,18.9074,98.795,2760.5513,7.64
2244.4429,108.6137613,4.292369815,104.7484393,4.668747287,18.6449,99.171374,2267.623,7.78
2674.8575,113.2689732,4.372509458,104.9926669,-2.999542288,18.6308,99.492157,2244.4429,7.83
2760.9455,113.6542645,2.966752705,105.4303027,10.0189061,18.3872,99.154847,2674.8575,7.84
3155.952,117.4745952,5.423602592,113.2604628,3.963658562,19.591,98.99408,2760.9455,7.85
3140.6653,116.0273922,3.818359675,111.5828073,1.984270135,20.3032,99.376465,3155.952,7.93
